Original_ID,system:index,B11,B12,B2,B3,B4,B8,Class,MNDWI,NDBI,NDVI,lat,lon,.geo
0,0,930.0,743.0,542.0,681.0,561.0,1244.0,1,-0.15456238,-0.14443423,0.37839335,31.74444093139462,117.29379021547742,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.29379021547742,31.74444093139462]}"
1,1,2718.5,2457.0,1599.0,1353.0,1160.0,2445.5,1,-0.33538008,0.052865997,0.35653862,32.28890982509946,117.11107288668752,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.11107288668751,32.28890982509946]}"
2,2,1895.0,1711.5,947.5,1154.0,1332.0,1548.5,1,-0.2430305,0.10062437,0.07516056,31.898322339564295,117.3439162083313,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.3439162083313,31.898322339564295]}"
3,3,2543.0,1962.0,668.0,843.0,877.0,2250.0,1,-0.5020673,0.061130814,0.439079,31.87514580523401,116.99348341599628,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.99348341599627,31.87514580523401]}"
4,4,1529.0,1203.0,1122.0,1238.0,1342.0,1785.0,1,-0.10516805,-0.07724804,0.14166933,31.68928437294968,117.15787511299014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.15787511299014,31.689284372949682]}"
5,5,2233.5,1874.0,1000.5,1131.0,1228.0,2121.0,1,-0.32768613,0.025835343,0.26664677,31.940094000275852,117.18608221291149,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.18608221291149,31.940094000275852]}"
6,6,2109.5,1712.5,765.5,955.5,1008.5,2317.0,1,-0.37650898,-0.046876766,0.39347467,31.98833353103307,117.13406975796096,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.13406975796097,31.98833353103307]}"
7,7,3631.0,3746.0,2218.0,2083.0,2041.0,2830.0,1,-0.27091354,0.123974614,0.16197906,31.78944652712901,117.32954316378536,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.32954316378537,31.78944652712901]}"
8,8,1346.0,1093.5,1575.0,1516.0,1419.0,1658.0,1,0.05939902,-0.10386152,0.077673055,31.8585269724778,117.2433048965099,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.2433048965099,31.8585269724778]}"
9,9,1602.0,1456.5,774.0,876.5,920.0,2161.0,1,-0.29271737,-0.14855169,0.4027913,31.90056812777459,117.38712517349744,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.38712517349744,31.900568127774594]}"
10,10,849.5,742.0,470.5,517.0,477.5,701.5,1,-0.24332236,0.095422305,0.18999152,31.89580705676876,117.2613610337207,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.2613610337207,31.89580705676876]}"
11,11,1988.0,1448.5,880.0,1041.0,993.5,2574.0,1,-0.31264445,-0.12845244,0.44302732,31.779565059003698,117.5117215034048,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.51172150340481,31.779565059003694]}"
12,12,646.0,532.0,588.0,630.0,602.0,774.0,1,-0.012539185,-0.09014084,0.125,31.705633711120655,117.29325122630696,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.29325122630695,31.705633711120658]}"
13,13,1839.5,1449.5,1163.0,1336.0,1395.0,2268.0,1,-0.15855771,-0.10432136,0.23832923,31.82133671971525,117.34562300737112,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.34562300737112,31.82133671971525]}"
14,14,1522.0,1230.0,1038.0,1170.0,1225.0,2065.0,1,-0.1307578,-0.15137999,0.25531915,31.861491412915395,117.20593498069051,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.20593498069053,31.861491412915395]}"
15,15,2003.0,1886.5,1018.0,1113.0,1190.0,1418.0,1,-0.2856226,0.17100263,0.08742331,31.870564397285,117.13963931272252,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.13963931272251,31.870564397285]}"
16,16,2178.0,1615.0,837.5,1003.0,1032.0,2226.0,1,-0.3693807,-0.010899182,0.3664825,32.450965902354625,117.149341117791,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.149341117791,32.450965902354625]}"
17,17,1895.5,1341.5,665.0,848.5,745.0,3081.0,1,-0.38155976,-0.23821963,0.61055934,31.82951138880074,117.20764177973037,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.20764177973037,31.82951138880074]}"
18,18,2364.0,1878.5,780.0,1013.0,1037.3333333333333,2498.0,1,-0.40005922,-0.027560676,0.41316235,32.13008768286713,117.04127378911144,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.04127378911143,32.13008768286713]}"
19,19,2579.0,2041.0,848.0,1113.0,1210.0,2853.0,1,-0.39707476,-0.050441828,0.404381,32.04816132895543,117.78328221379417,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.78328221379415,32.04816132895543]}"
20,20,1263.5,1105.0,934.0,992.0,1031.0,1222.0,1,-0.12037242,0.016696842,0.08477586,31.9096411121442,117.27824936106217,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.27824936106215,31.9096411121442]}"
21,21,2506.5,2197.0,959.0,1201.0,1352.0,1898.0,1,-0.35212407,0.13815416,0.168,32.1103247466165,117.63020928938018,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.63020928938018,32.1103247466165]}"
22,22,1420.0,1321.5,1127.0,1212.0,1254.0,1377.0,1,-0.079027355,0.015373615,0.046750285,31.876583109688603,117.46393113028968,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.46393113028967,31.876583109688603]}"
23,23,2360.0,1937.0,861.0,1138.0,1142.0,2641.0,1,-0.3493425,-0.056188762,0.39624637,31.81855194233448,117.54864226158212,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.54864226158213,31.81855194233448]}"
24,24,1363.0,988.0,1021.0,1005.0,988.0,962.0,1,-0.15118243,0.17247312,-0.013333334,31.73473912632613,117.1853635606842,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.1853635606842,31.73473912632613]}"
25,25,1786.0,1429.0,1300.0,1534.0,1663.0,2012.5,1,-0.07590362,-0.0596288,0.0950891,32.09415507150235,117.58196975862296,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.58196975862296,32.09415507150235]}"
26,26,2410.5,2166.0,1078.0,1166.0,1175.0,1891.0,1,-0.3479659,0.120771825,0.23352903,31.98411144919771,117.31525995076788,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.31525995076788,31.98411144919771]}"
27,27,2347.0,2274.0,998.0,1154.0,1232.0,1620.0,1,-0.34075978,0.18326192,0.13604487,31.710035456012843,117.27699171966438,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.27699171966438,31.710035456012843]}"
28,28,1292.5,1092.0,649.0,695.0,755.0,950.0,1,-0.30062893,0.15273133,0.114369504,31.710484613654906,117.13990880730776,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.13990880730775,31.710484613654902]}"
29,29,2192.5,1750.5,1182.0,1426.0,1508.0,2184.0,1,-0.21182811,0.0019421913,0.18309858,31.75917330205418,117.41263732756644,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.41263732756643,31.75917330205418]}"
30,30,1885.0,1468.0,794.0,898.0,960.0,1886.0,1,-0.35465324,-0.00026518165,0.32536894,31.755130883275644,117.19021446321844,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.19021446321844,31.755130883275644]}"
31,31,2080.5,1770.5,1187.0,1370.0,1292.0,1930.0,1,-0.20591219,0.037526492,0.19801366,32.07915320625755,117.377872526071,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.377872526071,32.07915320625755]}"
32,32,1742.5,1228.5,675.5,867.5,870.5,2027.5,1,-0.33524904,-0.07559682,0.39924085,31.94278894612821,117.6882404567343,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.6882404567343,31.94278894612821]}"
33,33,1970.0,1666.5,931.5,1134.0,1247.0,1924.5,1,-0.2693299,0.011683143,0.21362132,32.139340330293564,117.22794370515146,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.22794370515146,32.139340330293564]}"
34,34,1966.5,1796.0,1287.0,1420.0,1660.0,1902.5,1,-0.16137606,0.016541742,0.06807017,31.900657959303004,117.25192872323746,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.25192872323746,31.900657959303004]}"
35,35,1936.0,1517.5,739.0,919.0,985.0,2183.0,1,-0.35621718,-0.059966013,0.37815657,32.39221608277321,117.16227685788232,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.16227685788232,32.39221608277321]}"
36,36,2312.5,1831.5,1228.0,1442.0,1490.0,2469.5,1,-0.23185511,-0.032831453,0.24737972,31.9464720387931,117.3267583864046,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.3267583864046,31.9464720387931]}"
37,37,1280.0,1124.0,1012.0,1212.0,1208.0,1580.0,1,-0.02728732,-0.10489511,0.13342898,31.727642435581583,117.1628158470528,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.1628158470528,31.727642435581586]}"
38,38,2081.0,1659.5,650.0,804.0,889.5,2288.0,1,-0.4426343,-0.047379263,0.44012588,31.89580705676876,117.55771524595174,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.55771524595174,31.89580705676876]}"
39,39,2590.5,2326.5,946.0,1063.0,1138.0,2358.0,1,-0.41809225,0.046983935,0.34897026,32.28783184675852,117.13676470381333,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.13676470381333,32.28783184675852]}"
40,40,3122.0,2932.0,1816.0,2010.0,2742.0,2754.0,1,-0.21667966,0.062627636,0.0021834061,31.748034192531097,117.24043028760072,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.24043028760072,31.748034192531097]}"
41,41,2050.5,1463.0,811.0,1052.0,1039.0,2573.5,1,-0.32183722,-0.113105536,0.4247751,31.839392856926057,117.3312499628252,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.33124996282521,31.839392856926054]}"
42,42,1844.0,1406.5,647.0,827.0,860.0,1993.0,1,-0.38075626,-0.038832422,0.39712584,31.75935296511101,117.57065098604306,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.57065098604306,31.759352965111006]}"
43,43,1478.5,1253.5,742.5,797.0,803.5,1444.5,1,-0.29949462,0.011631885,0.28514236,31.835350438147515,117.37454875951975,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.37454875951977,31.835350438147515]}"
44,44,2038.5,1966.5,1411.0,1557.0,1836.0,2102.5,1,-0.13391739,-0.015455204,0.06766535,31.890506996592453,117.3109480374041,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.3109480374041,31.890506996592453]}"
45,45,2358.0,2033.0,808.0,1058.0,1122.0,2002.0,1,-0.38056207,0.081651375,0.28169015,31.94413641905439,116.833583295423,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.833583295423,31.94413641905439]}"
46,46,2301.0,1687.0,622.6666666666666,879.3333333333334,978.75,2552.0,1,-0.44701815,-0.051720586,0.44558522,31.574300016582384,116.91263504042551,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.91263504042551,31.574300016582384]}"
47,47,2560.0,2314.0,1120.0,1290.0,1422.0,1938.0,1,-0.32987013,0.13828368,0.15357143,32.42266897090486,116.98962066027455,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.98962066027455,32.42266897090486]}"
48,48,1870.5,1529.5,1178.0,1319.0,1340.0,1578.5,1,-0.17291111,0.08466222,0.08172006,31.991747129112724,117.54477950586042,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.54477950586042,31.991747129112724]}"
49,49,2277.5,1956.0,1206.0,1196.0,1163.0,2053.0,1,-0.3113574,0.05184159,0.2767413,31.828523241988208,117.3109480374041,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.3109480374041,31.828523241988208]}"
50,50,2216.5,1591.0,708.5,899.0,894.0,2177.0,1,-0.42288557,0.008990554,0.41777924,31.795734734117843,117.61996849514122,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.61996849514122,31.795734734117843]}"
51,51,1719.0,1565.5,754.0,776.5,765.5,2179.0,1,-0.37767982,-0.11800923,0.48004755,31.72863058239412,116.99510038350768,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.99510038350768,31.728630582394118]}"
52,52,4484.0,4466.5,2159.0,1607.0,1356.0,3253.5,1,-0.47233623,0.15903069,0.41164985,31.81100609394788,117.26935603974935,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.26935603974937,31.811006093947878]}"
53,53,1747.0,1599.0,796.5,847.0,968.0,1256.0,1,-0.34695452,0.16350317,0.1294964,31.82627745377791,117.28274093748276,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.28274093748276,31.82627745377791]}"
54,54,2522.5,2005.0,1292.0,1639.0,1779.0,2734.5,1,-0.21230325,-0.040327184,0.21169823,31.90407155738266,117.5327420810532,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.53274208105321,31.90407155738266]}"
55,55,2572.0,2410.0,1910.0,2028.0,2120.0,2632.0,1,-0.11826087,-0.011529593,0.107744105,31.751088464497105,117.18491440304211,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.18491440304213,31.751088464497105]}"
56,56,802.5,644.0,431.0,461.5,423.5,690.0,1,-0.2697785,0.07537688,0.23933543,31.82430116015285,117.25246771240792,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.25246771240792,31.824301160152846]}"
57,57,2481.5,2422.0,1829.0,1776.0,1857.0,2582.5,1,-0.16570757,-0.019944707,0.1634193,31.86858810365994,117.35810958982036,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.35810958982037,31.86858810365994]}"
58,58,1616.0,1173.0,1020.0,1114.0,1110.0,1695.0,1,-0.18388279,-0.02385986,0.20855615,31.86544400016552,117.4402156067889,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.4402156067889,31.86544400016552]}"
59,59,1225.0,891.0,534.0,643.0,612.0,1804.0,1,-0.31156316,-0.1911522,0.49337748,31.74632739349127,117.16703792888816,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.16703792888816,31.74632739349127]}"
60,60,1353.2,1136.090909090909,1060.7142857142858,1120.0,1172.909090909091,1365.625,1,-0.0942908,-0.0045699887,0.075916216,31.73572727313866,117.10155074467583,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.10155074467585,31.73572727313866]}"
61,61,494.5,347.5,628.0,641.0,519.5,561.0,1,0.12901805,-0.06300332,0.038408145,31.85637101579591,117.20225188802564,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.20225188802564,31.85637101579591]}"
62,62,1866.5,1719.5,1069.0,1146.0,1208.0,1449.0,1,-0.23917012,0.1259237,0.0907038,31.796183891759902,117.27905784481786,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.27905784481786,31.796183891759906]}"
63,63,2150.0,1944.0,1427.0,1654.0,1782.0,2394.5,1,-0.13038906,-0.0538013,0.14665389,31.916468308303507,117.27061368114714,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.27061368114714,31.916468308303507]}"
64,64,1821.5,1671.5,1192.0,1334.0,1414.0,1865.0,1,-0.15449215,-0.01179981,0.13754193,31.879008560955725,117.28597487250558,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.28597487250558,31.879008560955725]}"
65,65,2225.5,2071.5,1385.0,1599.0,1708.0,2245.5,1,-0.16381226,-0.0044732722,0.13595548,31.93488377162796,117.3101395536484,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.3101395536484,31.93488377162796]}"
66,66,1541.0,1216.5,958.0,1097.0,1089.0,1484.5,1,-0.16830933,0.018674599,0.15368176,32.08562107630321,117.4011388919297,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.4011388919297,32.08562107630321]}"
67,67,886.0,606.0,396.0,499.5,408.0,1392.0,2,-0.27896068,-0.22212467,0.5466667,31.782798994026525,117.22839286279353,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.22839286279353,31.782798994026525]}"
68,68,2263.0,1636.0,839.0,1078.0,1098.0,2736.0,1,-0.35468423,-0.094618924,0.42723006,31.723150859160988,117.46285315194872,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.46285315194872,31.723150859160988]}"
69,69,2139.0,1935.0,1256.0,1432.0,1566.0,2058.0,1,-0.19798376,0.0192995,0.13576159,32.55786542116485,116.89781283823754,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.89781283823754,32.55786542116485]}"
70,70,1766.0,1375.0,924.0,1086.0,1080.0,2082.0,1,-0.23842917,-0.08212058,0.31688803,31.596488404100135,117.47363293535815,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.47363293535815,31.596488404100135]}"
71,71,2220.0,1978.0,1342.0,1272.0,1268.0,2084.0,1,-0.27147767,0.031598512,0.24343675,31.757915660656412,117.23072848253224,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.23072848253223,31.757915660656412]}"
72,72,1355.5,1237.5,1424.0,1592.0,1669.0,1858.0,1,0.08023749,-0.15637156,0.053586617,31.829331725743916,117.42701037211236,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.42701037211235,31.829331725743916]}"
73,73,1991.5,1807.5,1079.0,1233.0,1487.0,1579.5,1,-0.23523027,0.11537384,0.030164683,31.81855194233448,117.1832076040023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.1832076040023,31.81855194233448]}"
74,74,2173.5,1636.0,1296.0,1386.0,1216.0,2545.0,1,-0.22123894,-0.07873265,0.35336345,31.768964938651084,117.38820315183838,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.38820315183838,31.768964938651084]}"
75,75,1680.5,1473.0,1211.0,1489.0,1587.0,1831.5,1,-0.060419623,-0.042995445,0.0715226,31.830230041028035,117.3071751132108,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.3071751132108,31.830230041028035]}"
76,76,2460.0,2040.5,1488.0,1774.0,1871.0,2652.0,1,-0.16202173,-0.037558686,0.172673,32.039447670699474,117.26396614804466,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.26396614804466,32.039447670699474]}"
77,77,4246.5,3887.0,3116.0,2199.0,1949.0,3124.5,1,-0.3176635,0.15221815,0.2316941,31.83993184609653,117.40068973428764,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.40068973428764,31.839931846096526]}"
78,78,1496.0,1046.5,809.5,992.0,870.0,2486.0,1,-0.20257235,-0.24861878,0.48152563,31.759981785809888,117.26468480027197,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.26468480027195,31.759981785809888]}"
79,79,2226.5,1814.0,728.0,912.5,978.5,2036.0,1,-0.41860464,0.04469208,0.35080445,32.43362841737112,117.12778155097212,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.12778155097213,32.43362841737112]}"
80,80,2187.5,1868.0,1155.0,1457.0,1542.0,2272.5,1,-0.20043902,-0.019058296,0.19150609,31.922756515292345,117.38901163559407,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.38901163559409,31.922756515292345]}"
81,81,1938.0,1762.0,886.5,1023.0,1156.0,1944.0,1,-0.3090172,-0.001545595,0.25419354,31.71632366300168,116.87831939657214,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.87831939657214,31.716323663001678]}"
82,82,2836.5,2477.5,1044.0,1350.0,1482.0,2768.0,1,-0.35506988,0.012222322,0.30258822,32.021122038903435,117.6980320933312,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.69803209333121,32.021122038903435]}"
83,83,2461.5,2141.5,878.0,1098.0,1169.0,2627.0,1,-0.3830594,-0.03252432,0.38408852,31.93263798341766,117.46303281500552,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.46303281500553,31.93263798341766]}"
84,84,2584.2,2069.0,686.3,1096.923076923077,782.6,1738.6666666666667,1,-0.40402803,0.19559552,0.37920094,31.84298611806253,117.01764809713907,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.01764809713909,31.84298611806253]}"
85,85,2112.0,1704.5,650.0,878.5,1053.0,1534.5,1,-0.41247284,0.15837105,0.18608695,31.975128296356512,117.2823816113691,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.2823816113691,31.975128296356512]}"
86,86,2344.0,1953.0,728.0,938.0,1001.0,2210.0,1,-0.42839733,0.029424682,0.37651822,31.67724694814248,117.4966298066316,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.4966298066316,31.67724694814248]}"
87,87,1942.5,1882.5,924.0,981.5,1003.5,1231.5,1,-0.3286594,0.22400756,0.102013424,31.77112089533297,117.31633792910884,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.31633792910883,31.77112089533297]}"
88,88,1868.0,1610.0,1296.0,1422.0,1462.0,1978.0,1,-0.13556232,-0.028601144,0.15,31.638349896340102,117.20171289885518,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.20171289885518,31.638349896340106]}"
89,89,1602.0,1459.5,614.5,747.5,758.5,1447.0,1,-0.3636944,0.05083634,0.3121741,31.787110907390296,117.14116644870552,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.14116644870552,31.787110907390296]}"
90,90,3473.5,3394.5,2782.0,3096.0,3306.0,3483.5,1,-0.057462517,-0.0014374012,0.026143309,31.929224385338006,117.27474593145408,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.27474593145409,31.929224385338006]}"
91,91,2207.0,1729.0,886.0,944.0,978.0,1960.0,1,-0.40082514,0.05927526,0.33424097,31.67356385547759,117.1989281214744,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.1989281214744,31.67356385547759]}"
92,92,1548.0,1107.0,697.0,896.0,704.0,2798.0,1,-0.2667758,-0.2876208,0.597944,31.728989908507764,117.2892088075284,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.28920880752841,31.728989908507764]}"
93,93,2190.0,1935.0,1028.0,1206.0,1340.0,1961.0,1,-0.28975266,0.05516743,0.1881248,31.82331301334031,116.96159322341002,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.96159322341002,31.823313013340314]}"
94,94,2073.0,1738.6666666666667,1235.3333333333333,1368.0,1450.0,2076.0,1,-0.20488231,-0.0007230658,0.17753829,31.96578581740167,117.04055513688412,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.04055513688412,31.96578581740167]}"
95,95,2961.5,2600.5,1193.3333333333333,1367.0,1589.5,2758.8333333333335,1,-0.3683724,0.035429172,0.2689153,31.583283169423577,116.87382782015156,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.87382782015155,31.583283169423577]}"
96,96,2845.5,2587.5,1882.0,1664.0,1699.0,2659.5,1,-0.26200244,0.033787467,0.22037399,32.25648064334275,117.73881560723024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.73881560723024,32.25648064334275]}"
97,97,1780.5,1236.5,687.0,926.5,917.0,2250.0,1,-0.31547838,-0.11648679,0.42090306,32.018966082221546,117.2153672911738,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.21536729117379,32.018966082221546]}"
98,98,1583.0,1319.0,892.0,1080.0,1140.0,2480.0,1,-0.18888472,-0.22077283,0.37016574,31.746956214190156,117.2657627786129,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.2657627786129,31.746956214190156]}"
99,99,1850.5,1554.5,1171.0,1286.0,1337.0,2007.0,1,-0.17997769,-0.04057032,0.20035885,31.80229243569192,117.11286951725576,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.11286951725575,31.802292435691918]}"
100,100,1786.0,1305.0,962.8,1130.0,1180.5,2046.0,1,-0.2249657,-0.06784969,0.26824734,31.94413641905439,117.01603112962766,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.01603112962766,31.94413641905439]}"
101,101,2951.0,2422.0,1202.0,1094.0,2248.0,2286.0,1,-0.4590853,0.1269811,0.008381121,31.685601280284793,117.20548582304848,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.20548582304848,31.685601280284793]}"
102,102,1898.5,1703.5,1037.0,1223.0,1283.0,1942.0,1,-0.21640237,-0.01132665,0.20434108,31.83678774260211,117.2011739096847,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.2011739096847,31.83678774260211]}"
103,103,1975.0,1458.0,724.0,1037.0,949.5,2650.5,1,-0.31142098,-0.14603826,0.4725,31.957790811373005,117.64224671418738,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.64224671418738,31.957790811373005]}"
104,104,2070.5,1919.0,1539.0,1720.0,1843.0,2172.5,1,-0.092468016,-0.024039594,0.08205703,31.80103479429415,117.17970417439425,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.17970417439425,31.80103479429415]}"
105,105,1925.0,1524.0,1036.0,1238.0,1312.0,1876.0,1,-0.21719886,0.012891345,0.17691343,31.74758503488904,117.12499677359136,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.12499677359136,31.74758503488904]}"
106,106,3206.5,2925.0,1865.0,1627.0,1524.0,2592.5,1,-0.32678184,0.10588033,0.25956517,31.781182026515108,117.32621939723414,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.32621939723414,31.781182026515108]}"
107,107,2520.4,2077.6666666666665,1050.0,1258.0,1348.0,2352.0,1,-0.33410966,0.03456202,0.27135134,32.15065910287347,117.05322138239022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.05322138239022,32.15065910287347]}"
108,108,2496.0,1963.0,976.0,1234.0,1355.0,2437.5,1,-0.3383378,0.011857707,0.28543177,32.14014881404927,117.61727354928888,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.61727354928887,32.14014881404927]}"
109,109,3298.5,3249.5,2383.0,1916.0,1693.0,3169.5,1,-0.26512608,0.019944342,0.30365038,31.783337983196997,117.320739674001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.320739674001,31.783337983196997]}"
110,110,2484.0,1471.0,2807.5,3179.0,3232.0,3960.0,1,0.12272647,-0.22905028,0.10122358,32.002257417936924,117.00318522106475,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.00318522106475,32.002257417936924]}"
111,111,2316.5,1897.5,943.5,1114.0,1234.0,2094.0,1,-0.350532,0.050447796,0.25841346,32.31226602248657,117.18850766417862,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.18850766417862,32.31226602248657]}"
112,112,2170.5,1741.5,725.0,930.5,988.5,2456.5,1,-0.39987102,-0.06181111,0.4261248,31.813970534385472,117.53840146734316,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.53840146734316,31.813970534385472]}"
113,113,1137.0,799.0,868.5,967.0,944.0,1399.0,1,-0.08079848,-0.103312306,0.19419548,31.852867586187845,117.18168046801932,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.18168046801931,31.852867586187845]}"
114,114,2653.0,2449.0,1570.0,1732.0,1968.0,2342.0,1,-0.2100342,0.062262263,0.086774945,31.73509845243978,117.25498299520346,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.25498299520346,31.73509845243978]}"
115,115,1201.5,1083.0,840.0,887.5,937.5,1146.0,1,-0.15031116,0.023642173,0.100072,31.85753882566527,117.27151199643126,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.27151199643126,31.85753882566527]}"
116,116,2503.5,2424.0,2107.0,1809.0,1767.0,2593.5,1,-0.16104348,-0.017657446,0.18954249,31.789895684771068,116.87095321124237,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.87095321124237,31.789895684771068]}"
117,117,2059.0,1827.0,1301.0,1645.0,1642.0,2316.5,1,-0.11177106,-0.05885042,0.17039283,31.857359162608443,117.24069978218596,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.24069978218596,31.857359162608443]}"
