[   478s] [P3|Nanchang ] LOCO changed 11/150  OA_vs_Human 0.460->0.507  tri-consensus n=44
[   478s] [P3|Nanjing  ] LOCO changed 15/150  OA_vs_Human 0.320->0.407  tri-consensus n=60
[   478s] [P3|Changsha ] LOCO changed 18/150  OA_vs_Human 0.507->0.593  tri-consensus n=50
[   479s] [P3|Hangzhou ] LOCO changed 11/150  OA_vs_Human 0.593->0.653  tri-consensus n=69
[   479s] 
PHASE 1
feature_set held_out  n_test  wc_vs_human_acc  majority_baseline_acc  majority_baseline_class  operator_acc  hybrid_acc  operator_acc_boundary  n_operator_fires  fire_precision_vs_human
      all27    Wuhan     150         0.413333               0.533333                        1      0.713333    0.480000               0.741935                18                 0.777778
      all27    Hefei     150         0.506667               0.626667                        1      0.673333    0.573333               0.681481                28                 0.678571
      all27 Nanchang     150         0.460000               0.646667                        1      0.726667    0.506667               0.809091                11                 0.818182
      all27  Nanjing     150         0.320000               0.546667                        1      0.740000    0.406667               0.775000                15                 0.933333
      all27 Changsha     150         0.506667               0.553333                        1      0.746667    0.593333               0.785047                18                 0.833333
      all27 Hangzhou     150         0.593333               0.533333                        1      0.753333    0.653333               0.770115                11                 0.909091
 transfer15    Wuhan     150         0.413333               0.533333                        1      0.673333    0.493333               0.701613                18                 0.833333
 transfer15    Hefei     150         0.506667               0.626667                        1      0.620000    0.606667               0.629630                25                 0.800000
 transfer15 Nanchang     150         0.460000               0.646667                        1      0.686667    0.520000               0.745455                15                 0.800000
 transfer15  Nanjing     150         0.320000               0.546667                        1      0.720000    0.386667               0.775000                14                 0.857143
 transfer15 Changsha     150         0.506667               0.553333                        1      0.706667    0.580000               0.766355                14                 0.857143
 transfer15 Hangzhou     150         0.593333               0.533333                        1      0.726667    0.640000               0.770115                 9                 0.888889
[   479s] 
PHASE 2 by city
held_out          method    WC_OA  WC_BE  Human_OA  Human_BE  n_corrected
